Evaluation

batch_size=1000
cross_fold_id=-1
cross_folds_num=-1
data_name='adult'
dataset_sort=False
dropout_ratio=0
epoch_num=300
evaluator='token-acc'
gpu=0
hadamard_importance=False
hidden_dim=50
input_dim=66
kmeans_init=True
lambda_sep=0.1
latent_dim=None
load_name=None
lr=0.001
lr_decay=0
max_pool_protos=True
min_epoch_num=1
model='MLP'
momentum=0.9
no_eval_til=0
num_prototypes_per_class=20
opt='adam'
patience=150
pooling_type='attention'
pre_eval=False
pretrained_model=None
proto_dim=16
push_after=40
save_best=True
save_data=False
save_dir='saved_models'
save_name='mlp-b1000'
seed_num=10
similarity_epsilon=0.01
similarity_function_name='gaussian'
start_epoch=0
unfreeze_feature_extractor=0
unfreeze_lin_layer=1000
verbose=True
weight_decay=0.0001

         epoch  |     train loss | token-acc-train |  token-acc-dev | token-acc-test |      cross_ent |         l1-pen |       sep_loss 
------------------------------------------------------------------------------------------------------------------------------------------
              1 |           0.69 |          73.10 |          71.24 |          72.28 |           0.00 |           0.00 |           0.00 
              2 |           0.58 |          77.91 |          76.98 |          77.63 |           0.00 |           0.00 |           0.00 
              3 |           0.48 |          78.71 |          78.57 |          78.65 |           0.00 |           0.00 |           0.00 
              4 |           0.43 |          80.46 |          79.91 |          79.86 |           0.00 |           0.00 |           0.00 
              5 |           0.41 |          80.96 |          80.42 |          81.33 |           0.00 |           0.00 |           0.00 
              6 |           0.37 |          81.35 |          80.68 |          82.09 |           0.00 |           0.00 |           0.00 
              7 |           0.39 |          81.65 |          81.19 |          82.28 |           0.00 |           0.00 |           0.00 
              8 |           0.35 |          82.15 |          80.74 |          82.15 |           0.00 |           0.00 |           0.00 
              9 |           0.38 |          82.25 |          81.06 |          81.84 |           0.00 |           0.00 |           0.00 
             10 |           0.37 |          82.48 |          81.57 |          81.90 |           0.00 |           0.00 |           0.00 
             11 |           0.37 |          82.47 |          81.63 |          82.73 |           0.00 |           0.00 |           0.00 
             12 |           0.34 |          82.81 |          81.38 |          82.79 |           0.00 |           0.00 |           0.00 
             13 |           0.35 |          82.61 |          80.99 |          82.15 |           0.00 |           0.00 |           0.00 
             14 |           0.33 |          82.67 |          80.36 |          81.96 |           0.00 |           0.00 |           0.00 
             15 |           0.36 |          83.09 |          81.06 |          82.41 |           0.00 |           0.00 |           0.00 
             16 |           0.33 |          82.82 |          81.19 |          82.66 |           0.00 |           0.00 |           0.00 
             17 |           0.37 |          82.77 |          80.74 |          82.35 |           0.00 |           0.00 |           0.00 
             18 |           0.36 |          82.72 |          82.27 |          82.15 |           0.00 |           0.00 |           0.00 
             19 |           0.34 |          83.12 |          81.12 |          82.86 |           0.00 |           0.00 |           0.00 
             20 |           0.36 |          83.52 |          82.27 |          82.98 |           0.00 |           0.00 |           0.00 
             21 |           0.34 |          83.06 |          82.02 |          82.66 |           0.00 |           0.00 |           0.00 
             22 |           0.33 |          83.32 |          81.63 |          82.86 |           0.00 |           0.00 |           0.00 
             23 |           0.30 |          83.12 |          81.44 |          82.60 |           0.00 |           0.00 |           0.00 
             24 |           0.36 |          82.97 |          82.02 |          82.92 |           0.00 |           0.00 |           0.00 
             25 |           0.36 |          83.34 |          81.06 |          82.98 |           0.00 |           0.00 |           0.00 
             26 |           0.35 |          83.48 |          80.99 |          82.86 |           0.00 |           0.00 |           0.00 
             27 |           0.35 |          83.46 |          81.44 |          82.47 |           0.00 |           0.00 |           0.00 
             28 |           0.37 |          83.56 |          82.02 |          82.98 |           0.00 |           0.00 |           0.00 
