Evaluation

batch_size=1000
cross_fold_id=-1
cross_folds_num=-1
data_name='adult'
dataset_sort=False
dropout_ratio=0
epoch_num=300
evaluator='token-acc'
gpu=0
hadamard_importance=False
hidden_dim=50
input_dim=66
kmeans_init=True
lambda_sep=0.1
latent_dim=None
load_name=None
lr=0.001
lr_decay=0
max_pool_protos=True
min_epoch_num=1
model='ProtoMLP'
momentum=0.9
no_eval_til=0
num_prototypes_per_class=20
opt='sgd'
patience=150
pooling_type='attention'
pre_eval=False
pretrained_model='mlp-16d'
proto_dim=16
push_after=80
save_best=True
save_data=False
save_dir='saved_models'
save_name='proto-20-push80'
seed_num=10
similarity_epsilon=0.01
similarity_function_name='gaussian'
start_epoch=0
unfreeze_feature_extractor=0
unfreeze_lin_layer=1000
verbose=True
weight_decay=0.0001

         epoch  |     train loss | token-acc-train |  token-acc-dev | token-acc-test |      cross_ent |         l1-pen |       sep_loss 
------------------------------------------------------------------------------------------------------------------------------------------
              1 |           0.62 |          79.40 |          77.17 |          76.99 |           0.64 |           0.00 |          -0.18 
              2 |           0.63 |          78.68 |          76.47 |          78.08 |           0.64 |           0.00 |          -0.17 
              3 |           0.62 |          78.84 |          77.68 |          79.09 |           0.64 |           0.00 |          -0.19 
              4 |           0.61 |          79.34 |          77.61 |          78.71 |           0.63 |           0.00 |          -0.20 
              5 |           0.61 |          79.19 |          76.53 |          77.18 |           0.63 |           0.00 |          -0.21 
              6 |           0.60 |          78.39 |          77.23 |          77.12 |           0.62 |           0.00 |          -0.23 
              7 |           0.60 |          77.89 |          75.57 |          75.84 |           0.62 |           0.00 |          -0.25 
              8 |           0.59 |          78.31 |          74.68 |          76.16 |           0.62 |           0.00 |          -0.27 
              9 |           0.58 |          76.71 |          73.60 |          74.51 |           0.61 |           0.00 |          -0.30 
             10 |           0.58 |          76.62 |          74.43 |          75.08 |           0.61 |           0.00 |          -0.32 
             11 |           0.58 |          75.66 |          75.77 |          74.89 |           0.61 |           0.00 |          -0.32 
             12 |           0.57 |          75.08 |          75.00 |          75.02 |           0.60 |           0.00 |          -0.34 
             13 |           0.56 |          74.47 |          73.92 |          74.19 |           0.60 |           0.00 |          -0.38 
             14 |           0.56 |          73.93 |          72.19 |          73.17 |           0.60 |           0.00 |          -0.39 
             15 |           0.56 |          74.09 |          71.81 |          72.85 |           0.60 |           0.00 |          -0.40 
             16 |           0.55 |          73.81 |          72.51 |          72.21 |           0.59 |           0.00 |          -0.44 
             17 |           0.55 |          73.65 |          72.45 |          71.89 |           0.59 |           0.00 |          -0.44 
             18 |           0.54 |          73.70 |          72.51 |          71.70 |           0.59 |           0.00 |          -0.46 
             19 |           0.54 |          73.89 |          72.13 |          71.83 |           0.59 |           0.00 |          -0.48 
             20 |           0.54 |          74.16 |          72.70 |          71.57 |           0.59 |           0.00 |          -0.48 
             21 |           0.54 |          74.36 |          72.90 |          72.53 |           0.59 |           0.00 |          -0.50 
             22 |           0.52 |          74.53 |          73.47 |          72.47 |           0.58 |           0.00 |          -0.56 
             23 |           0.53 |          74.30 |          73.53 |          72.02 |           0.58 |           0.00 |          -0.54 
