Evaluation

batch_size=40
check_for_lowercase=True
clip_grad=5
cross_fold_id=-1
cross_folds_num=-1
data_dir='data/rt-polarity'
dataset_sort=False
dropout_ratio=0.5
emb_delimiter=' '
emb_dim=300
emb_fn='/playpen2/home/peter/xu/data/glove.840B.300d.txt'
emb_load_all=False
epoch_num=100
evaluator='token-acc'
freeze_word_embeddings=False
gpu=0
hadamard_importance=False
kmeans_init=False
lambda_sep=0.1
latent_dim=None
load_name=None
lr=0.015
lr_decay=0.05
max_pool_protos=True
min_epoch_num=1
model='BiRNN'
momentum=0.9
no_eval_til=0
num_prototypes_per_class=5
opt='sgd'
patience=15
pooling_type='attention'
pre_eval=False
pretrained_model=None
proto_dim=16
push_after=15
rnn_hidden_dim=50
rnn_type='LSTM'
save_best=True
save_data=False
save_dir='saved_models'
save_name='attention-corrected'
seed_num=10
similarity_epsilon=0.1
start_epoch=0
unfreeze_feature_extractor=0
unfreeze_lin_layer=0
verbose=True
word_seq_indexer='data/word_seq_indexer'

         epoch  |     train loss | token-acc-train |  token-acc-dev | token-acc-test |      cross_ent |         l1-pen |       sep_loss 
------------------------------------------------------------------------------------------------------------------------------------------
              1 |           0.68 |          50.43 |          49.34 |          49.11 |           0.00 |           0.00 |           0.00 
              2 |           0.61 |          67.98 |          67.07 |          66.27 |           0.00 |           0.00 |           0.00 
              3 |           0.46 |          70.44 |          68.38 |          66.46 |           0.00 |           0.00 |           0.00 
              4 |           0.39 |          74.30 |          70.78 |          71.44 |           0.00 |           0.00 |           0.00 
              5 |           0.37 |          75.96 |          72.69 |          72.30 |           0.00 |           0.00 |           0.00 
              6 |           0.43 |          75.40 |          71.38 |          72.02 |           0.00 |           0.00 |           0.00 
              7 |           0.37 |          75.98 |          71.86 |          74.37 |           0.00 |           0.00 |           0.00 
              8 |           0.43 |          75.17 |          71.26 |          72.16 |           0.00 |           0.00 |           0.00 
              9 |           0.45 |          75.88 |          71.14 |          71.25 |           0.00 |           0.00 |           0.00 
             10 |           0.37 |          77.15 |          73.17 |          74.27 |           0.00 |           0.00 |           0.00 
             11 |           0.43 |          78.74 |          74.37 |          74.99 |           0.00 |           0.00 |           0.00 
             12 |           0.38 |          78.47 |          75.33 |          74.17 |           0.00 |           0.00 |           0.00 
             13 |           0.42 |          79.11 |          75.45 |          75.04 |           0.00 |           0.00 |           0.00 
             14 |           0.45 |          78.06 |          74.25 |          74.08 |           0.00 |           0.00 |           0.00 
             15 |           0.39 |          78.79 |          73.53 |          74.94 |           0.00 |           0.00 |           0.00 
             16 |           0.39 |          79.10 |          76.17 |          75.42 |           0.00 |           0.00 |           0.00 
             17 |           0.40 |          80.43 |          75.33 |          76.19 |           0.00 |           0.00 |           0.00 
             18 |           0.36 |          79.52 |          73.89 |          74.27 |           0.00 |           0.00 |           0.00 
             19 |           0.36 |          79.92 |          75.09 |          74.80 |           0.00 |           0.00 |           0.00 
             20 |           0.41 |          79.76 |          75.09 |          74.22 |           0.00 |           0.00 |           0.00 
             21 |           0.35 |          80.34 |          75.93 |          75.47 |           0.00 |           0.00 |           0.00 
             22 |           0.36 |          80.52 |          75.45 |          75.66 |           0.00 |           0.00 |           0.00 
             23 |           0.40 |          81.44 |          76.89 |          77.14 |           0.00 |           0.00 |           0.00 
             24 |           0.38 |          80.38 |          75.21 |          75.75 |           0.00 |           0.00 |           0.00 
             25 |           0.34 |          75.45 |          72.22 |          71.49 |           0.00 |           0.00 |           0.00 
             26 |           0.42 |          81.64 |          76.53 |          76.67 |           0.00 |           0.00 |           0.00 
             27 |           0.36 |          82.01 |          76.05 |          76.57 |           0.00 |           0.00 |           0.00 
             28 |           0.36 |          82.41 |          76.77 |          76.90 |           0.00 |           0.00 |           0.00 
             29 |           0.45 |          81.93 |          76.41 |          77.00 |           0.00 |           0.00 |           0.00 
             30 |           0.34 |          82.24 |          76.53 |          76.76 |           0.00 |           0.00 |           0.00 
             31 |           0.33 |          83.12 |          78.08 |          76.81 |           0.00 |           0.00 |           0.00 
             32 |           0.37 |          82.47 |          77.84 |          76.28 |           0.00 |           0.00 |           0.00 
             33 |           0.38 |          83.24 |          78.56 |          76.57 |           0.00 |           0.00 |           0.00 
             34 |           0.35 |          82.83 |          77.60 |          77.43 |           0.00 |           0.00 |           0.00 
             35 |           0.35 |          83.42 |          77.60 |          77.96 |           0.00 |           0.00 |           0.00 
             36 |           0.35 |          82.81 |          78.32 |          76.62 |           0.00 |           0.00 |           0.00 
             37 |           0.36 |          84.26 |          78.68 |          77.58 |           0.00 |           0.00 |           0.00 
             38 |           0.33 |          84.12 |          78.92 |          77.91 |           0.00 |           0.00 |           0.00 
             39 |           0.35 |          81.95 |          77.25 |          77.91 |           0.00 |           0.00 |           0.00 
             40 |           0.34 |          83.29 |          79.28 |          77.24 |           0.00 |           0.00 |           0.00 
             41 |           0.37 |          84.10 |          79.28 |          78.34 |           0.00 |           0.00 |           0.00 
             42 |           0.31 |          84.38 |          79.16 |          78.39 |           0.00 |           0.00 |           0.00 
             43 |           0.35 |          84.24 |          79.64 |          77.72 |           0.00 |           0.00 |           0.00 
             44 |           0.36 |          82.24 |          77.25 |          76.71 |           0.00 |           0.00 |           0.00 
             45 |           0.28 |          82.95 |          78.44 |          77.43 |           0.00 |           0.00 |           0.00 
             46 |           0.34 |          84.57 |          78.08 |          77.96 |           0.00 |           0.00 |           0.00 
             47 |           0.33 |          84.60 |          79.04 |          78.15 |           0.00 |           0.00 |           0.00 
             48 |           0.29 |          85.01 |          78.80 |          78.97 |           0.00 |           0.00 |           0.00 
             49 |           0.30 |          84.26 |          78.92 |          77.62 |           0.00 |           0.00 |           0.00 
             50 |           0.37 |          85.46 |          78.80 |          78.63 |           0.00 |           0.00 |           0.00 
             51 |           0.37 |          84.88 |          77.84 |          77.67 |           0.00 |           0.00 |           0.00 
             52 |           0.36 |          83.10 |          78.08 |          77.67 |           0.00 |           0.00 |           0.00 
             53 |           0.38 |          84.62 |          78.68 |          78.25 |           0.00 |           0.00 |           0.00 
             54 |           0.34 |          85.16 |          79.04 |          78.82 |           0.00 |           0.00 |           0.00 
             55 |           0.36 |          86.33 |          79.40 |          78.77 |           0.00 |           0.00 |           0.00 
             56 |           0.29 |          85.82 |          78.68 |          79.06 |           0.00 |           0.00 |           0.00 
             57 |           0.34 |          83.34 |          75.09 |          76.28 |           0.00 |           0.00 |           0.00 
             58 |           0.33 |          84.73 |          77.01 |          77.67 |           0.00 |           0.00 |           0.00 
             59 |           0.32 |          86.01 |          79.88 |          78.92 |           0.00 |           0.00 |           0.00 
             60 |           0.31 |          85.75 |          77.37 |          78.49 |           0.00 |           0.00 |           0.00 
             61 |           0.26 |          85.70 |          79.64 |          78.49 |           0.00 |           0.00 |           0.00 
             62 |           0.28 |          86.03 |          79.16 |          78.63 |           0.00 |           0.00 |           0.00 
             63 |           0.33 |          86.57 |          78.92 |          78.73 |           0.00 |           0.00 |           0.00 
             64 |           0.35 |          86.19 |          79.40 |          78.63 |           0.00 |           0.00 |           0.00 
