Evaluation

batch_size=40
check_for_lowercase=True
clip_grad=5
cross_fold_id=-1
cross_folds_num=-1
data_dir='data/rt-polarity'
dataset_sort=False
dropout_ratio=0.5
emb_delimiter=' '
emb_dim=300
emb_fn='/playpen2/home/peter/xu/data/glove.840B.300d.txt'
emb_load_all=False
epoch_num=200
evaluator='token-acc'
freeze_word_embeddings=False
gpu=0
hadamard_importance=False
kmeans_init=True
lambda_sep=0
latent_dim=None
load_name=None
lr=0.015
lr_decay=0.05
max_pool_protos=True
min_epoch_num=1
model='ProtoBiRNNFixed'
momentum=0.9
no_eval_til=0
num_prototypes_per_class=40
opt='sgd'
patience=80
pooling_type='attention'
pre_eval=True
pretrained_model='attention'
proto_dim=100
push_after=0
rnn_hidden_dim=50
rnn_type='LSTM'
save_best=True
save_data=False
save_dir='saved_models'
save_name='proto-fixed-p40'
seed_num=10
similarity_epsilon=0.01
similarity_function_name='gaussian'
start_epoch=0
unfreeze_feature_extractor=1000
unfreeze_lin_layer=1000
verbose=True
word_seq_indexer='data/word_seq_indexer'

         epoch  |     train loss | token-acc-train |  token-acc-dev | token-acc-test |      cross_ent |         l1-pen |       sep_loss 
------------------------------------------------------------------------------------------------------------------------------------------
------------------------------------------------------------------------------------------------------------------------------------------
*** Token-level accuracy: 77.67% ***
 	 TP: 76.44 | abs: 808
 	 FP: 23.56 | abs: 249
 	 TN: 78.93 | abs: 813
 	 FN: 21.07 | abs: 217
Neg class: neg, Pos class: pos
              1 |           0.62 |          84.49 |          78.56 |          76.67 |           0.62 |           0.00 |          -1.74 
              2 |           0.59 |          84.05 |          77.60 |          76.90 |           0.59 |           0.00 |          -1.81 
              3 |           0.59 |          83.24 |          77.72 |          75.52 |           0.59 |           0.00 |          -1.75 
              4 |           0.56 |          82.89 |          78.32 |          76.43 |           0.56 |           0.00 |          -2.02 
              5 |           0.54 |          83.80 |          77.60 |          76.52 |           0.54 |           0.00 |          -2.31 
              6 |           0.53 |          85.10 |          79.88 |          77.53 |           0.53 |           0.00 |          -2.35 
              7 |           0.56 |          82.41 |          78.44 |          75.47 |           0.56 |           0.00 |          -1.87 
              8 |           0.51 |          84.16 |          79.04 |          76.95 |           0.51 |           0.00 |          -2.34 
              9 |           0.51 |          84.58 |          78.92 |          77.29 |           0.51 |           0.00 |          -2.28 
             10 |           0.49 |          84.09 |          78.32 |          77.05 |           0.49 |           0.00 |          -2.47 
             11 |           0.51 |          83.28 |          78.44 |          76.28 |           0.51 |           0.00 |          -2.41 
             12 |           0.51 |          85.12 |          77.96 |          78.44 |           0.51 |           0.00 |          -2.34 
             13 |           0.51 |          85.87 |          78.80 |          78.58 |           0.51 |           0.00 |          -2.38 
             14 |           0.50 |          85.53 |          79.52 |          77.67 |           0.50 |           0.00 |          -2.49 
             15 |           0.53 |          85.10 |          79.16 |          77.29 |           0.53 |           0.00 |          -1.94 
             16 |           0.47 |          85.51 |          79.04 |          76.81 |           0.47 |           0.00 |          -2.49 
             17 |           0.51 |          82.41 |          75.45 |          76.28 |           0.51 |           0.00 |          -2.25 
             18 |           0.49 |          85.30 |          78.92 |          77.58 |           0.49 |           0.00 |          -2.38 
             19 |           0.49 |          85.62 |          79.76 |          77.43 |           0.49 |           0.00 |          -2.38 
             20 |           0.49 |          85.21 |          78.20 |          77.29 |           0.49 |           0.00 |          -2.41 
             21 |           0.47 |          84.40 |          77.01 |          77.86 |           0.47 |           0.00 |          -2.57 
             22 |           0.49 |          86.27 |          78.44 |          79.20 |           0.49 |           0.00 |          -2.55 
             23 |           0.51 |          84.82 |          77.01 |          77.82 |           0.51 |           0.00 |          -2.39 
             24 |           0.47 |          85.35 |          78.44 |          77.29 |           0.47 |           0.00 |          -2.60 
             25 |           0.49 |          83.90 |          77.72 |          76.38 |           0.49 |           0.00 |          -2.47 
             26 |           0.47 |          86.70 |          78.20 |          78.92 |           0.47 |           0.00 |          -2.62 
             27 |           0.48 |          83.38 |          77.49 |          75.56 |           0.48 |           0.00 |          -2.61 
             28 |           0.49 |          86.35 |          78.80 |          78.87 |           0.49 |           0.00 |          -2.52 
             29 |           0.46 |          87.07 |          79.28 |          79.30 |           0.46 |           0.00 |          -2.63 
             30 |           0.49 |          86.54 |          78.20 |          78.53 |           0.49 |           0.00 |          -2.58 
             31 |           0.47 |          87.06 |          78.20 |          79.01 |           0.47 |           0.00 |          -2.60 
             32 |           0.50 |          87.52 |          79.88 |          79.44 |           0.50 |           0.00 |          -2.47 
             33 |           0.47 |          87.42 |          79.16 |          79.20 |           0.47 |           0.00 |          -2.55 
             34 |           0.47 |          86.69 |          79.16 |          78.01 |           0.47 |           0.00 |          -2.67 
             35 |           0.48 |          85.50 |          78.56 |          77.10 |           0.48 |           0.00 |          -2.52 
             36 |           0.47 |          87.19 |          79.52 |          79.68 |           0.47 |           0.00 |          -2.67 
             37 |           0.50 |          85.69 |          78.20 |          78.92 |           0.50 |           0.00 |          -2.41 
             38 |           0.47 |          86.71 |          78.68 |          79.25 |           0.47 |           0.00 |          -2.67 
             39 |           0.48 |          87.33 |          78.92 |          79.30 |           0.48 |           0.00 |          -2.63 
             40 |           0.48 |          87.26 |          79.28 |          79.78 |           0.48 |           0.00 |          -2.61 
             41 |           0.47 |          87.45 |          79.40 |          79.68 |           0.47 |           0.00 |          -2.78 
             42 |           0.47 |          86.81 |          79.40 |          79.68 |           0.47 |           0.00 |          -2.71 
             43 |           0.46 |          87.50 |          79.28 |          79.54 |           0.46 |           0.00 |          -2.71 
             44 |           0.47 |          87.52 |          78.80 |          79.88 |           0.47 |           0.00 |          -2.72 
             45 |           0.46 |          86.71 |          78.92 |          78.63 |           0.46 |           0.00 |          -2.76 
             46 |           0.47 |          87.91 |          79.16 |          79.44 |           0.47 |           0.00 |          -2.67 
             47 |           0.47 |          85.54 |          77.72 |          78.44 |           0.47 |           0.00 |          -2.68 
             48 |           0.48 |          86.86 |          79.88 |          78.73 |           0.48 |           0.00 |          -2.59 
             49 |           0.46 |          88.14 |          80.00 |          79.73 |           0.46 |           0.00 |          -2.77 
             50 |           0.48 |          87.01 |          79.64 |          78.92 |           0.48 |           0.00 |          -2.42 
             51 |           0.51 |          86.67 |          78.08 |          79.49 |           0.51 |           0.00 |          -2.43 
             52 |           0.47 |          87.15 |          78.80 |          78.87 |           0.47 |           0.00 |          -2.70 
             53 |           0.47 |          87.76 |          79.28 |          79.78 |           0.47 |           0.00 |          -2.58 
             54 |           0.46 |          87.68 |          79.88 |          80.02 |           0.46 |           0.00 |          -2.72 
             55 |           0.49 |          87.29 |          79.28 |          79.01 |           0.49 |           0.00 |          -2.58 
             56 |           0.49 |          86.97 |          78.92 |          78.73 |           0.49 |           0.00 |          -2.53 
             57 |           0.48 |          87.74 |          79.76 |          79.83 |           0.48 |           0.00 |          -2.65 
             58 |           0.49 |          87.82 |          79.52 |          79.92 |           0.49 |           0.00 |          -2.44 
             59 |           0.50 |          85.94 |          78.56 |          77.14 |           0.50 |           0.00 |          -2.45 
             60 |           0.47 |          86.94 |          79.16 |          78.77 |           0.47 |           0.00 |          -2.61 
             61 |           0.46 |          87.42 |          79.52 |          79.68 |           0.46 |           0.00 |          -2.69 
             62 |           0.47 |          86.69 |          79.40 |          77.91 |           0.47 |           0.00 |          -2.65 
             63 |           0.50 |          88.50 |          80.00 |          80.50 |           0.50 |           0.00 |          -2.46 
             64 |           0.49 |          88.64 |          80.12 |          80.16 |           0.49 |           0.00 |          -2.53 
             65 |           0.49 |          88.58 |          79.76 |          80.07 |           0.49 |           0.00 |          -2.40 
             66 |           0.49 |          88.44 |          80.00 |          79.35 |           0.49 |           0.00 |          -2.39 
             67 |           0.50 |          86.99 |          79.40 |          78.39 |           0.50 |           0.00 |          -2.52 
             68 |           0.47 |          88.32 |          79.28 |          80.07 |           0.47 |           0.00 |          -2.68 
             69 |           0.47 |          87.86 |          79.16 |          79.49 |           0.47 |           0.00 |          -2.71 
             70 |           0.49 |          86.69 |          78.92 |          78.77 |           0.49 |           0.00 |          -2.46 
             71 |           0.50 |          88.56 |          80.36 |          80.02 |           0.50 |           0.00 |          -2.50 
             72 |           0.49 |          88.43 |          79.16 |          79.88 |           0.49 |           0.00 |          -2.38 
             73 |           0.47 |          87.62 |          80.24 |          79.83 |           0.47 |           0.00 |          -2.66 
             74 |           0.46 |          88.18 |          79.52 |          79.73 |           0.46 |           0.00 |          -2.72 
             75 |           0.47 |          88.67 |          80.72 |          79.64 |           0.47 |           0.00 |          -2.64 
             76 |           0.48 |          87.55 |          79.52 |          80.16 |           0.48 |           0.00 |          -2.57 
             77 |           0.49 |          85.01 |          77.01 |          77.19 |           0.49 |           0.00 |          -2.62 
             78 |           0.49 |          87.33 |          79.16 |          78.77 |           0.49 |           0.00 |          -2.58 
             79 |           0.48 |          87.22 |          78.68 |          78.87 |           0.48 |           0.00 |          -2.68 
             80 |           0.47 |          88.50 |          79.76 |          80.07 |           0.47 |           0.00 |          -2.71 
             81 |           0.47 |          88.11 |          79.76 |          79.44 |           0.47 |           0.00 |          -2.66 
             82 |           0.47 |          88.59 |          79.88 |          79.73 |           0.47 |           0.00 |          -2.70 
             83 |           0.47 |          88.00 |          79.40 |          79.83 |           0.47 |           0.00 |          -2.71 
             84 |           0.47 |          83.33 |          76.77 |          74.94 |           0.47 |           0.00 |          -2.69 
             85 |           0.48 |          88.16 |          79.04 |          79.78 |           0.48 |           0.00 |          -2.66 
             86 |           0.47 |          86.90 |          78.32 |          79.06 |           0.47 |           0.00 |          -2.80 
             87 |           0.46 |          89.06 |          80.00 |          79.97 |           0.46 |           0.00 |          -2.80 
             88 |           0.47 |          88.91 |          79.88 |          80.16 |           0.47 |           0.00 |          -2.78 
             89 |           0.44 |          87.76 |          79.40 |          79.20 |           0.44 |           0.00 |          -2.88 
             90 |           0.46 |          88.72 |          79.28 |          79.54 |           0.46 |           0.00 |          -2.80 
             91 |           0.47 |          89.08 |          79.88 |          80.21 |           0.47 |           0.00 |          -2.77 
             92 |           0.45 |          89.24 |          80.48 |          80.35 |           0.45 |           0.00 |          -2.88 
             93 |           0.47 |          88.90 |          80.12 |          79.92 |           0.47 |           0.00 |          -2.74 
             94 |           0.49 |          89.10 |          80.36 |          80.40 |           0.49 |           0.00 |          -2.64 
             95 |           0.47 |          88.12 |          78.56 |          80.02 |           0.47 |           0.00 |          -2.72 
             96 |           0.46 |          89.11 |          80.36 |          80.31 |           0.46 |           0.00 |          -2.83 
             97 |           0.46 |          89.16 |          79.52 |          80.21 |           0.46 |           0.00 |          -2.80 
             98 |           0.45 |          89.24 |          79.40 |          79.97 |           0.45 |           0.00 |          -2.87 
             99 |           0.46 |          86.65 |          78.68 |          79.40 |           0.46 |           0.00 |          -2.88 
            100 |           0.47 |          89.22 |          79.64 |          80.35 |           0.47 |           0.00 |          -2.80 
            101 |           0.45 |          89.24 |          79.52 |          80.74 |           0.45 |           0.00 |          -2.87 
            102 |           0.46 |          88.92 |          80.72 |          80.45 |           0.46 |           0.00 |          -2.80 
            103 |           0.48 |          85.95 |          77.84 |          77.72 |           0.48 |           0.00 |          -2.72 
            104 |           0.48 |          88.44 |          79.40 |          79.92 |           0.48 |           0.00 |          -2.71 
            105 |           0.48 |          89.27 |          79.88 |          80.64 |           0.48 |           0.00 |          -2.72 
            106 |           0.45 |          89.46 |          79.64 |          80.45 |           0.45 |           0.00 |          -2.87 
            107 |           0.47 |          89.20 |          80.72 |          81.07 |           0.47 |           0.00 |          -2.76 
            108 |           0.46 |          89.28 |          79.40 |          80.40 |           0.46 |           0.00 |          -2.85 
            109 |           0.46 |          89.22 |          79.64 |          80.50 |           0.46 |           0.00 |          -2.84 
            110 |           0.47 |          88.90 |          79.52 |          79.88 |           0.47 |           0.00 |          -2.74 
            111 |           0.48 |          89.28 |          80.12 |          80.59 |           0.48 |           0.00 |          -2.72 
            112 |           0.45 |          89.34 |          80.72 |          80.31 |           0.45 |           0.00 |          -2.90 
            113 |           0.46 |          89.18 |          80.00 |          80.55 |           0.46 |           0.00 |          -2.86 
            114 |           0.47 |          87.96 |          79.04 |          79.64 |           0.47 |           0.00 |          -2.76 
            115 |           0.47 |          89.27 |          80.72 |          79.88 |           0.47 |           0.00 |          -2.73 
            116 |           0.45 |          87.82 |          79.16 |          79.01 |           0.45 |           0.00 |          -2.83 
            117 |           0.47 |          86.02 |          78.44 |          76.95 |           0.47 |           0.00 |          -2.82 
            118 |           0.46 |          89.22 |          80.36 |          79.73 |           0.46 |           0.00 |          -2.89 
            119 |           0.46 |          89.44 |          80.00 |          80.64 |           0.46 |           0.00 |          -2.87 
            120 |           0.46 |          89.14 |          79.64 |          80.59 |           0.46 |           0.00 |          -2.86 
            121 |           0.44 |          86.34 |          78.32 |          77.43 |           0.44 |           0.00 |          -2.99 
            122 |           0.48 |          89.40 |          79.64 |          80.45 |           0.48 |           0.00 |          -2.71 
            123 |           0.44 |          89.66 |          80.36 |          80.40 |           0.44 |           0.00 |          -2.94 
            124 |           0.48 |          89.06 |          80.12 |          80.16 |           0.48 |           0.00 |          -2.76 
            125 |           0.47 |          89.77 |          80.60 |          80.26 |           0.47 |           0.00 |          -2.85 
            126 |           0.48 |          89.67 |          80.84 |          80.21 |           0.48 |           0.00 |          -2.79 
            127 |           0.47 |          89.32 |          80.48 |          80.64 |           0.47 |           0.00 |          -2.78 
            128 |           0.48 |          88.96 |          79.52 |          80.31 |           0.48 |           0.00 |          -2.62 
            129 |           0.48 |          89.16 |          80.36 |          80.02 |           0.48 |           0.00 |          -2.71 
            130 |           0.45 |          89.28 |          79.88 |          79.83 |           0.45 |           0.00 |          -2.74 
            131 |           0.45 |          89.48 |          79.64 |          79.88 |           0.45 |           0.00 |          -2.83 
            132 |           0.48 |          89.70 |          80.48 |          80.02 |           0.48 |           0.00 |          -2.78 
            133 |           0.47 |          89.84 |          80.24 |          80.21 |           0.47 |           0.00 |          -2.79 
            134 |           0.44 |          88.24 |          78.92 |          79.54 |           0.44 |           0.00 |          -2.89 
            135 |           0.48 |          89.76 |          79.88 |          80.31 |           0.48 |           0.00 |          -2.76 
            136 |           0.45 |          89.24 |          80.36 |          80.40 |           0.45 |           0.00 |          -2.93 
            137 |           0.46 |          89.71 |          80.12 |          79.68 |           0.46 |           0.00 |          -2.85 
            138 |           0.45 |          89.66 |          80.00 |          79.92 |           0.45 |           0.00 |          -2.98 
            139 |           0.46 |          88.99 |          79.40 |          79.64 |           0.46 |           0.00 |          -2.89 
            140 |           0.44 |          89.60 |          80.12 |          80.11 |           0.44 |           0.00 |          -2.94 
            141 |           0.47 |          88.71 |          79.88 |          79.44 |           0.47 |           0.00 |          -2.76 
            142 |           0.46 |          89.46 |          80.48 |          80.11 |           0.46 |           0.00 |          -2.86 
