Evaluation

batch_size=40
check_for_lowercase=True
clip_grad=5
cross_fold_id=-1
cross_folds_num=-1
data_dir='data/rt-polarity'
dataset_sort=False
dropout_ratio=0.5
emb_delimiter=' '
emb_dim=300
emb_fn='/playpen2/home/peter/xu/data/glove.840B.300d.txt'
emb_load_all=False
epoch_num=200
evaluator='token-acc'
freeze_word_embeddings=False
gpu=1
hadamard_importance=False
kmeans_init=True
lambda_sep=0.1
latent_dim=None
load_name=None
lr=0.015
lr_decay=0.05
max_pool_protos=True
min_epoch_num=1
model='ProtoBiRNN'
momentum=0.9
no_eval_til=0
num_prototypes_per_class=40
opt='sgd'
patience=80
pooling_type='attention'
pre_eval=False
pretrained_model='attention-16d'
proto_dim=16
push_after=20
rnn_hidden_dim=50
rnn_type='LSTM'
save_best=True
save_data=False
save_dir='saved_models'
save_name='proto-p40-kmeans-push20'
seed_num=10
similarity_epsilon=0.01
similarity_function_name='gaussian'
start_epoch=0
unfreeze_feature_extractor=0
unfreeze_lin_layer=1000
verbose=True
word_seq_indexer='data/word_seq_indexer'

         epoch  |     train loss | token-acc-train |  token-acc-dev | token-acc-test |      cross_ent |         l1-pen |       sep_loss 
------------------------------------------------------------------------------------------------------------------------------------------
              1 |           0.57 |          89.02 |          80.00 |          78.63 |           0.61 |           0.00 |          -0.46 
              2 |           0.24 |          89.38 |          79.64 |          78.97 |           0.47 |           0.00 |          -2.27 
              3 |           0.10 |          87.60 |          78.80 |          77.38 |           0.44 |           0.00 |          -3.32 
              4 |           0.10 |          88.78 |          78.92 |          79.16 |           0.44 |           0.00 |          -3.40 
              5 |           0.08 |          86.70 |          77.84 |          78.63 |           0.43 |           0.00 |          -3.50 
              6 |           0.06 |          88.34 |          79.88 |          78.34 |           0.41 |           0.00 |          -3.56 
              7 |           0.09 |          88.80 |          78.32 |          78.05 |           0.43 |           0.00 |          -3.49 
              8 |           0.06 |          89.51 |          80.12 |          79.54 |           0.42 |           0.00 |          -3.57 
              9 |           0.07 |          89.40 |          80.36 |          79.01 |           0.43 |           0.00 |          -3.53 
             10 |           0.05 |          89.51 |          79.88 |          79.59 |           0.41 |           0.00 |          -3.60 
             11 |           0.07 |          86.82 |          78.20 |          77.14 |           0.43 |           0.00 |          -3.53 
             12 |           0.06 |          88.82 |          80.00 |          79.40 |           0.42 |           0.00 |          -3.55 
             13 |           0.07 |          87.82 |          78.92 |          78.73 |           0.43 |           0.00 |          -3.54 
             14 |           0.05 |          88.95 |          78.56 |          78.87 |           0.41 |           0.00 |          -3.59 
             15 |           0.09 |          88.64 |          79.16 |          78.97 |           0.44 |           0.00 |          -3.47 
             16 |           0.01 |          89.71 |          79.88 |          79.68 |           0.38 |           0.00 |          -3.73 
             17 |           0.07 |          89.00 |          77.84 |          78.77 |           0.42 |           0.00 |          -3.54 
             18 |           0.04 |          88.72 |          77.84 |          78.49 |           0.41 |           0.00 |          -3.62 
             19 |           0.04 |          90.09 |          79.28 |          80.16 |           0.41 |           0.00 |          -3.61 
             20 |           0.06 |          88.28 |          78.68 |          77.62 |           0.42 |           0.00 |          -3.56 
             21 |           0.04 |          88.02 |          78.68 |          77.96 |           0.40 |           0.00 |          -3.63 
             22 |           0.27 |          88.63 |          77.01 |          78.20 |           0.45 |           0.00 |          -1.82 
             23 |           0.14 |          89.50 |          80.84 |          79.35 |           0.43 |           0.00 |          -2.88 
             24 |           0.07 |          89.67 |          78.80 |          79.06 |           0.40 |           0.00 |          -3.30 
             25 |           0.09 |          89.97 |          79.40 |          79.30 |           0.42 |           0.00 |          -3.32 
             26 |           0.07 |          89.34 |          80.12 |          79.11 |           0.41 |           0.00 |          -3.39 
             27 |           0.08 |          89.16 |          78.80 |          78.73 |           0.42 |           0.00 |          -3.39 
             28 |           0.07 |          90.61 |          79.16 |          79.59 |           0.41 |           0.00 |          -3.39 
             29 |           0.05 |          90.57 |          80.84 |          80.21 |           0.40 |           0.00 |          -3.46 
             30 |           0.06 |          88.84 |          79.28 |          79.49 |           0.40 |           0.00 |          -3.46 
